"","V1","V2"
"1",2,0.78611340995781
"2",3,0.478201256945132
"3",4,0.519764060580993
"4",5,0.471085679823902
"5",6,0.451118999615063
"6",7,0.42307188108486
"7",8,0.413425768947545
"8",9,0.391263426897821
"9",10,0.411742450538833
