"Apulia.north"	"Apulia.south"	"Calabria"	"Liguria.east"	"Liguria.west"	"Sardinia.coast"	"Sardinia.inland"	"Sicily"	"Umbria"
"Apulia.north"	0	0	0	0	0	0	0	0	0
"Apulia.south"	0	61	3	0	1	0	0	1	0
"Calabria"	0	0	0	0	0	0	0	0	0
"Liguria.east"	0	0	0	0	0	0	0	0	0
"Liguria.west"	0	0	0	0	0	0	0	0	0
"Sardinia.coast"	0	0	0	0	0	0	0	0	0
"Sardinia.inland"	0	0	0	0	0	9	19	0	0
"Sicily"	0	0	0	0	0	0	0	0	0
"Umbria"	7	0	13	15	14	0	0	9	15
