"Apulia.north"	"Apulia.south"	"Calabria"	"Liguria.east"	"Liguria.west"	"Sardinia.coast"	"Sardinia.inland"	"Sicily"	"Umbria"
"Apulia.north"	6	0	0	1	0	0	0	1	0
"Apulia.south"	1	59	0	0	1	0	0	1	0
"Calabria"	0	1	12	1	0	0	0	5	0
"Liguria.east"	0	0	0	12	2	0	0	0	0
"Liguria.west"	0	0	0	0	12	0	0	0	0
"Sardinia.coast"	0	0	0	0	0	9	0	0	0
"Sardinia.inland"	0	0	0	0	0	0	19	0	0
"Sicily"	0	1	4	0	0	0	0	3	0
"Umbria"	0	0	0	1	0	0	0	0	15
